咆	pau+
和	xo+
和	xo2
咍	xai-
咎	giu2
咎	gau-
呺	xiau-
呺	xau+
咉	aŋ-
咉	aŋ1
咏	yŋ2
咏	yŋ1
呬	xi2
呰	z1
呴	xy2
呴	xeu1
咀	zy1
咈	fu3
咋	zə3
咋	ža2
呭	i2
咇	bi3
呹	i3
咼	kuai-
咖	gia-
咖	ka-
咐	fu2
咐	fu+
咕	gu-
咢	ŋo3
咤	ža2
咤	ža-
咥	die3
咥	xi2
咨	z-
咫	ž1
咬	iau1
咬	giau-
咮	žeu-
咮	žu-
咮	žu2
咷	tau+
咷	tau2
咸	xian+
咽	ian-
咽	ie3
咿	i-
哀	ai-
品	pin1
哂	šen1
哆	do1
哆	č1
哆	do-
哇	ua-
哉	zai-
咡	er2
咡	er+
咦	xi-
咦	i+
咯	lo3
咳	xai+
咳	kai2
咳	kə3
咺	xyan-
咺	xyan1
咻	xiu-
咻	xy1
咠	ci3
咠	zi3
哄	xuŋ2
咲	sau2
咶	xua3
咪	mi1
咱	zan+
咱	za+
哈	xa-
咭	gi3
咩	mie1
咩	mie-
哎	ai-
員	yan+
員	yn+
哥	go-
哦	ŋo+
哦	o2
哨	sau-
哨	šau2
哭	ku3
哮	xiau-
哮	xiau2
哲	že3
哺	bu2
哽	geŋ1
哿	go1
唁	ian2
唄	bai2
唆	suo-
唉	ai-
唉	ai2
唏	xi1
唏	xi2
唐	taŋ+
哤	maŋ+
哫	zu3
唅	xan-
唅	xan2
哳	ža3
哶	mie1
哶	mie-
唇	žen-
唇	čun+
唈	i3
唈	o3
㖏	ŋie3
哢	luŋ+
唊	gie3
唌	san+
哩	li2
哩	li1
哼	xeŋ-
唔	u+
唣	zau2
哪	na1
哪	no+
售	šeu2
售	čeu+
唯	ui+
唯	ui1
唱	čaŋ2
唳	li2
唳	lie3
唾	tuo2
啁	čau-
啁	žeu-
啄	žuo3
啄	du3
商	šaŋ-
啍	tun+
問	uen2
啐	čai2
啐	cui2
啓	ki1
啙	z1
啜	žuo3
啞	ia1
啞	ia2
啞	ə3
唴	kiaŋ-
唪	fuŋ2
